日期,商品名稱,買賣權別,身份別,買方交易口數,買方交易契約金額(千元),賣方交易口數,賣方交易契約金額(千元),交易口數買賣淨額,交易契約金額買賣淨額(千元),買方未平倉口數,買方未平倉契約金額(千元),賣方未平倉口數,賣方未平倉契約金額(千元),未平倉口數買賣淨額,未平倉契約金額買賣淨額(千元)
2021/08/05,臺指選擇權,CALL,自營商,35289,102948,35511,125171,-222,-22223,52601,321304,50615,474702,1986,-153398
2021/08/05,臺指選擇權,CALL,投信,0,0,0,0,0,0,0,0,0,0,0,0
2021/08/05,臺指選擇權,CALL,外資及陸資,21807,110114,22628,121470,-821,-11356,15001,154793,28611,315270,-13610,-160477
2021/08/05,臺指選擇權,PUT,自營商,54260,143509,45748,135149,8512,8360,60033,154665,43708,157010,16325,-2345
2021/08/05,臺指選擇權,PUT,投信,0,0,2,18,-2,-18,0,0,59,467,-59,-467
2021/08/05,臺指選擇權,PUT,外資及陸資,29834,129691,27732,129391,2102,300,40885,144643,26242,122010,14643,22633
2021/08/06,臺指選擇權,CALL,自營商,75810,228781,78358,245431,-2548,-16651,54891,280328,55453,428960,-562,-148632
2021/08/06,臺指選擇權,CALL,投信,0,0,0,0,0,0,0,0,0,0,0,0
2021/08/06,臺指選擇權,CALL,外資及陸資,41926,198014,42100,198388,-174,-373,16812,141902,30596,264567,-13784,-122665
2021/08/06,臺指選擇權,PUT,自營商,77294,301376,75387,277081,1907,24296,66119,218991,47887,198291,18232,20700
2021/08/06,臺指選擇權,PUT,投信,0,0,0,0,0,0,0,0,59,590,-59,-590
2021/08/06,臺指選擇權,PUT,外資及陸資,54748,269207,52881,254417,1867,14790,45460,191964,28950,149770,16510,42194
2021/08/09,臺指選擇權,CALL,自營商,98883,249326,98750,233873,133,15453,61474,283398,61903,409442,-429,-126044
2021/08/09,臺指選擇權,CALL,投信,0,0,0,0,0,0,0,0,0,0,0,0
2021/08/09,臺指選擇權,CALL,外資及陸資,60317,252995,59392,248501,925,4493,18771,139553,31630,237248,-12859,-97695
2021/08/09,臺指選擇權,PUT,自營商,81708,287632,82250,285012,-542,2620,70743,221649,53053,210355,17690,11294
2021/08/09,臺指選擇權,PUT,投信,0,0,0,0,0,0,0,0,59,582,-59,-582
2021/08/09,臺指選擇權,PUT,外資及陸資,63701,299227,63501,300806,200,-1578,46411,193602,29701,153349,16710,40253
